이름,대분류,상세 설명,의존성·비고,정의 상태,완성 여부
자동 프로젝트 브리핑,A. 프로젝트 인덱싱,"인덱싱 완료 후 프로젝트 목적, 주요 디렉터리, 핵심 모듈, 실행 흐름을 요약한 Markdown 브리핑 1편을 생성하고 표시한다.",프로젝트 요약 생성·문서 생성·요약 표시를 하나로 통합. /ingest 계약에 종속.,확정,No
인덱싱 버전 비교 (Backend),A. 프로젝트 인덱싱,기존에 저장된 문서와 다른 버전임이(인덱스 기준) 자동 명시되어 갱신경고를 표시함.,관리자의 갱신에 의존함,확정,No
인덱싱 버전 비교 (Frontend),A. 프로젝트 인덱싱,"VScode Extension의 Sidebar에 현재 VScode에 열려 있는 프로젝트의 이름과 버전을 표시하고, 백엔드에 인덱싱된 프로젝트들의 이름과 버전을 표시한다. 
사용자는 두 정보를 통해 인덱싱 버전을 비교할 수 있다.","/v1/IngestResponse로 연결, 관리자 서버와 연결에 의존",확정,No
인덱스 갱신,A. 프로젝트 인덱싱,프로젝트 코드나 문서가 변경된 뒤 사용자가 재인덱싱을 실행할 수 있게 한다(관리자 페이지). v1에서는 증분 갱신 대신 전체 재실행으로 단순화한다.,사용자 요청에 따라 갱신과 파일별 증분 인덱싱은 초기 범위에서 제외.,확정,No
인덱싱 진행중 표시 (Backend),A. 프로젝트 인덱싱,"관리자 페이지에 인덱싱 작업의 상태와 처리 파일 수를 주기적으로 조회하여 분석 중, 완료, 실패 상태를 표시한다."," 관리자 페이지에서만 작동. 서버 상태에 의존","확정, 동일기능[1]",No
인덱싱 실행,A. 프로젝트 인덱싱,"명령 팔레트 또는 온보딩 뷰에서 프로젝트 폴더,문서 인덱싱을 실행한다. 서버는 POST /ingest 요청을 비동기 작업으로 접수하고 job_id를 반환한다.","레포 전체 대상. 코드 우선, 문서 Markdown 우선 처리.",확정,No
오류 상태 표시,B. 질의응답,"VScode Extension의 Sidebar에 서버 연결 끊김, 모델 사용 불가, 인덱스 없음, 요청 실패를 구분하여 표시하고 사용자가 취할 조치를 안내한다.",오류별 code와 message를 사용하며 단순 실패 문구 하나로 통합하지 않음.,확정,No
멀티턴 대화,B. 질의응답,대화 세션 내의 직전 1~2개의 대화를 다음 요청의 history 정보로 포함하여 후속 질문의 문맥을 유지한다.,세션 히스토리 안정화 이후 검토. 핵심 데모 범위 아님.,확정,No
세션 히스토리 표시,B. 질의응답,VScode Chat view에서 주고받은 질문과 답변의 목록을 Extension 내부 Storage에 Sqlite 파일로 저장한다.,로컬 대상 한정.,확정,No
근거 없음 안내,B. 질의응답,검색 결과 유사도가 기준에 미달하면 관련 근거를 찾지 못했다는 안내를 표시하고 근거 없는 답변 생성을 제한한다.,유사도 임계값과 판정 방식은 RAG 품질 검증 후 기술 명세에서 조정.,확정,No
단계 표시,B. 질의응답,"질문 처리 중 검색 중, 근거 확인, 답변 생성 중 등의 단계를 표시해 응답 대기 상태를 안내한다.",실시간 서버 이벤트가 없으면 v1에서는 클라이언트 상태 전환 문구로 구현 가능.,확정,No
선택 코드 빠른 질문,B. 질의응답,"VScode Extension 에디터에서 코드를 선택하고 우클릭하여 코드에 대해 질문한다. 
코드의 파일 경로와 라인 범위를 입력 영역에 배지로 표시한다.",extension의 우클릭 메뉴로 등록,확정,No
답변 렌더링,B. 질의응답,서버가 반환한 답변을 VS Code 채팅 영역에 Markdown으로 표시하고 코드 블록을 읽기 쉬운 형태로 렌더링한다.,코드 블록 syntax highlighting은 프론트 구현에서 조정 가능.,확정,No
근거 기반 답변 생성,B. 질의응답,"서버가 질문을 임베딩하여 프로젝트 벡터 인덱스에서 top-k 근거를 검색하고, 근거와 질문을 LLM에 주입해 답변을 생성한다.",프로젝트 지식은 fine-tuning이 아니라 RAG 검색으로 공급.,확정,No
질문 입력·전송,B. 질의응답,사용자가 VS Code Chat View에서 @vision을 선택한 후 자연어 질문을 입력하면 POST /generate로 전송한다.,"프로젝트 구조, 함수 역할, 기능 흐름, 규약, 오류 관련 질문을 지원.",확정,No
연관 파일 표시,C. 출처·코드 탐색,"현재 열려 있는 파일 또는 그 파일에서 선택한 함수/변수에 대해, VScode Explorer 탭의 폴더/파일 중 의존성이 높은 항목 이름에 색깔을 넣어서 표시한다. ",정확한 의존성 그래프는 별도 Static Analysis가 필요.,확정,No
수정 적용 확인,C. 출처·코드 탐색,AI가 제안한 변경 내용을 기존 코드와 비교하는 Diff 형태로 채팅창에 표시하고 사용자가 적용 또는 취소를 선택할 수 있게 한다.,코드 이해 중심 MVP와 직접 관련성이 낮아 핵심 기능 완료 후 검토.,"확정 , 상호의존 기능[1]",No
코드 삽입,C. 출처·코드 탐색,답변에 포함된 코드 블록에서 적용을 선택하면 수정된 코드가 적용될 수 있도록 한다.,자동 적용이 아니라 사용자의 명시적 실행을 전제로 함.,"확정 , 상호의존 기능[1]",No
출처 파일 점프,C. 출처·코드 탐색,사용자가 답변의 출처를 클릭하면 해당 파일을 열고 관련 코드 라인 또는 문서 위치로 이동한다.,파일 경로가 현재 workspace 내부에 존재하는지 검증 필요.,확정. 우선순위는 아래,No
출처 표시,C. 출처·코드 탐색,"모든 답변에 근거가 된 파일 경로, 코드 라인, 문서 섹션, 스니펫을 sources 목록으로 표시한다.",제품 정체성에 해당하는 필수 기능.,확정,No
엔드포인트 설정,D. 설정·상태,"VScode Extension의 Sidebar에서 서버 URL을 변경하여 로컬 서버, 사내 Network 서버, EC2 시뮬레이션 환경을 전환할 수 있게 한다.",기업 코드와 문서는 외부 상용 LLM API로 전송하지 않음.,보류,No
학습 파이프라인,E. 시스템·AI,공개 코드와 공개 Instruction 데이터를 수집·정제하고 근거 기반 답변 형식으로 변환한 뒤 QLoRA fine-tuning과 평가를 수행한다.,보강혼합 전략 적용. 기업·데모 레포는 학습이 아니라 인덱싱 대상으로 처리임을 명시할것.,확정,No
Fine-tuned 모델 서빙,E. 시스템·AI,공개 데이터로 fine-tuning한 모델을 외부 상용 LLM API 없이 self-hosted 환경에서 실행하고 요청에 답한다,"Base model, 추론 엔진, 양자화 방식은 미정",확정,No
/ingest API,E. 시스템·AI,"프로젝트 인덱싱 요청을 비동기 작업으로 등록해 job_id를 반환하고, 별도 상태 API에서 진행률을 제공한다.",project_root 전달 방식은 서버 배포 위치와 D6 결정에 따라 재검토.,기능 확정 · 계약 초안,No
/v1/chat API,E. 시스템·AI,"질문과 선택 코드 컨텍스트를 입력받아 검색, LLM 생성, 출처 조립을 수행하고 answer, sources, meta를 반환한다.",프론트와 AI·백엔드 트랙이 공유하는 핵심 API 계약.,계약 v1 확정,No
/v1/IngestResponse,E. 시스템·AI,"VScode Extension을 처음 구동할 때, 백엔드 서버에 인덱싱된 프로젝트 목록을 요청한다. 백엔드는 프로젝트명과 git 버전의 목록을 반환한다. 
Extension에서는 sidebar의 ‘목록 새로고침’으로 요청을 다시 보낼 수 있다. ","백엔드 관리페이지와 연결, 그리고 인덱싱 상태에 의존.",확정,No
/v1/health,E. 시스템·AI,"VScode Extension과 백엔드 서버 사이의 연결 상태를 20초마다 확인하고, 연결되어 있는 모델 정보를 반환한다. ",서버 연결상태에 의존,확정,No
인제스트 파이프라인,E. 시스템·AI,프로젝트 코드와 문서를 수집하고 파일 형식에 맞게 청킹한 뒤 임베딩과 출처 Metadata를 생성해 프로젝트 벡터 인덱스에 저장한다.,"저장 대상: 청크 원문, embedding, project_id, file_path, line 또는 section, source_type 등.",확정 · v1 완료,No
소개 원페이지,F. 웹,"제품 개요, 문제 정의, 핵심 기능, 작동 방식, .vsix 설치 절차와 프로젝트 정보를 제공하는 반응형 웹 원페이지를 제작한다.",일정 부족 시 정적 원페이지로 축소 가능.,확정,No
관리자 페이지,F. 웹,"VectorDB, 모델 및 VScode Extension의 연결 상태 등 백엔드 서버 기능을 조작할 수 있는 관리자 페이지를 제작한다. ",,확정,No
